Page,Edits,Editors,Views
"Roger Cicero",99,60,867332
"Alternative für Deutschland",293,83,700883
"Guido Westerwelle",99,57,626046
"Deutschland",15,11,613558
"Nekrolog 2016",26,15,613553
"Donald Trump",92,44,588384
"Adidas",23,16,581351
"Frauke Petry",37,24,525354
"Liste der IATA-Flughafen-Codes",0,0,522264
"Adolf Dassler",40,24,433609
"Ostern",24,11,408799
"Karfreitag",8,7,404793
"Niels Ruf",37,32,403660
"St. Patrick’s Day",23,11,394850
"Nastassja Kinski",14,9,372050
"Leonardo DiCaprio",21,14,357225
"Unix-Shell",0,0,346930
"Puma (Unternehmen)",0,0,320388
"Caroline Herschel",29,17,317982
"Rudolf Dassler",13,10,317562
"Batman v Superman: Dawn of Justice",99,47,298445
"The Walking Dead (Fernsehserie)",68,41,293498
"Grey’s Anatomy",31,22,291746
"Internationaler Frauentag",25,16,284278
"Game of Thrones",19,14,283735
"RMS Titanic",3,3,262641
"Islamischer Staat (Organisation)",58,38,258857
"Vereinigte Staaten",6,6,247145
"Ku’damm 56",54,25,241217
"Präsidentschaftswahl in den Vereinigten Staaten 2016",30,23,236679
"Kaiserlich Japanische Armee",0,0,236642
"House of Cards (Fernsehserie)",0,0,236130
"Gravity (Film)",12,9,233331
"Wikipedia",9,6,227104
"Prisoners (2013)",14,12,224708
"Gründonnerstag",7,4,223993
"Arbeitszufriedenheit",1,1,217045
"The Big Bang Theory",4,4,214483
"Johan Cruyff",79,46,214115
"Landtagswahl in Baden-Württemberg 2016",128,62,212101
"Berlin",6,4,211302
"Enissa Amani",16,9,204119
"Beatrix von Storch",79,43,202977
"Sommerzeit",64,34,202579
"Lothar Späth",86,48,202090
"Volker Beck",189,51,198764
"Adolf Hitler",74,23,197350
"Supergirl (Fernsehserie)",58,20,197111
"Schweiz",10,6,194027
"Brüssel",14,14,185180
"Pretty Little Liars",21,15,184826
"Landtagswahl in Sachsen-Anhalt 2016",129,58,183321
"Fußball-Europameisterschaft 2016",4,4,182636
"Belgien",8,7,182220
"Vorwahlergebnisse der Präsidentschaftswahl in den Vereinigten Staaten 2016",239,86,181062
"Österreich",2,2,179811
"Jana Pallaske",12,9,179536
"Landtagswahl in Rheinland-Pfalz 2016",178,61,177352
"Facebook",8,5,177206
"Julia Klöckner",35,14,175243
"Alwara Höfels",3,3,174588
"Edwards-Syndrom",3,3,174090
"Angela Merkel",46,25,172257
"Methamphetamin",16,11,171137
"Sebastian Kurz",54,18,171119
"Zweiter Weltkrieg",8,5,170904
"Ladinische Sprache",6,4,169884
"Asperger-Syndrom",14,10,168793
"Syrien",4,4,167562
"Heike Makatsch",8,3,167165
"Go (Spiel)",28,17,165137
"Deadpool (Film)",62,30,162512
"Prometheus – Dunkle Zeichen",8,8,162224
"Spotlight (Film)",21,9,161991
"Titanic (1997)",16,10,161732
"Oscarverleihung 2016",8,6,160364
"The Revenant – Der Rückkehrer",32,18,159979
"Clara Rockmore",23,14,159775
"James Bond",23,12,159329
"Karin Hanczewski",6,5,158890
"Figuren aus dem Marvel-Universum",6,5,157766
"Mitgliedstaaten der Europäischen Union",19,14,157160
"Two and a Half Men",11,11,157061
"Sherlock (Fernsehserie)",18,15,154326
"Liberace",6,5,153417
"Fuller House (Fernsehserie)",21,10,152111
"Vampire Diaries",18,15,152109
"Jennifer Lawrence",18,12,151265
"Die Brücke – Transit in den Tod",23,15,148855
"Silver Linings",7,6,145156
"Russland",18,16,145120
"Frühlingsanfang",17,12,145096
"Ruby O. Fee",22,15,144809
"Türkei",19,5,142326
"Myanmar",19,17,142194
"James Bond 007: Spectre",35,23,141717
"Europäische Union",15,15,140640
"Tutanchamun",36,25,139529
"Der Lehrer (Fernsehserie)",23,12,138749
"Winfried Kretschmann",34,24,138211
"Malu Dreyer",?,?,138182
"Europa",?,?,137946
"Erster Weltkrieg",?,?,137040
"Anne Frank",?,?,135332
"Baden-Württemberg",?,?,135078
"Sachsen-Anhalt",?,?,134976
"Scharlach",?,?,132979
"Barack Obama",?,?,132971
"Hamburg",?,?,132547
"Monuments Men – Ungewöhnliche Helden",?,?,132151
"The Walking Dead (Fernsehserie)/Episodenliste",?,?,131001
"Schwarze Wanne",?,?,130939
"Niccolò Paganini",?,?,130893
"Liste der Kfz-Kennzeichen in Deutschland",?,?,130248
"Frankreich",?,?,129700
"Pfeiffer-Drüsenfieber",?,?,129165
"Sabin Tambrea",?,?,128579
"The Shannara Chronicles",?,?,128526
"Nancy Reagan",?,?,126596
"AnnenMayKantereit",?,?,126527
"Prison Break",?,?,126082
"Die Tribute von Panem",?,?,125835
"Michael Edwards",?,?,125353
"Kuba",?,?,124922
"Eric Stehfest",?,?,124538
"George Kennedy",?,?,123819
"Breaking Bad",?,?,123508
"Bud Spencer",?,?,123454
"New York City",?,?,123066
"Victoria Swarovski",?,?,122876
"Australien",?,?,122522
"Liste der Präsidenten der Vereinigten Staaten",?,?,122429
"Klaus Kinski",?,?,122408
"Die Bestimmung – Divergent",?,?,121735
"Theremin",?,?,121700
"Palmsonntag",?,?,121637
"Akte X – Die unheimlichen Fälle des FBI",?,?,121216
"UEFA Champions League",?,?,121178
"Bayern",?,?,120727
"Sonja Gerhardt",?,?,120628
"Multiple Sklerose",?,?,119927
"Italien",?,?,119685
"Google",?,?,119358
"Periodensystem",?,?,119349
"Kanada",?,?,119201
"Terence Hill",?,?,117470
"American Beauty (Film)",?,?,117086
"Marcus Pretzell",?,?,116357
"Osterhase",?,?,116190
"Doctor Who",?,?,115794
"FC Bayern München",?,?,115602
"Roland Trettl",?,?,115417
"Ischämischer Schlaganfall",?,?,115009
"Sex",?,?,115008
"Pfingsten",?,?,113871
"Heath Ledger",?,?,113472
"Eugen Cicero",?,?,113436
"Emilia Schüle",?,?,113317
"Antonio Rüdiger",?,?,113211
"Alessandra Meyer-Wölden",?,?,113110
"Lone Ranger (Film)",?,?,113102
"The Hateful Eight",?,?,112971
"Borderline-Persönlichkeitsstörung",?,?,112822
"Michael Mronz",?,?,112484
"Harry Potter",?,?,112234
"Batman",?,?,112057
"Ronald Reagan",?,?,111899
"Chorea Huntington",?,?,111898
"Raum (Film)",?,?,111733
"Johnny Depp",?,?,111344
"Anne Gesthuysen",?,?,111335
"Better Call Saul",?,?,111198
"Schizophrenie",?,?,110846
"Olympus Has Fallen – Die Welt in Gefahr",?,?,110679
"Criminal Minds",?,?,110344
"Michael Oher",?,?,109360
"Quentin Tarantino",?,?,109108
"München",?,?,108960
"Kate Winslet",?,?,108634
"Terroranschläge am 22. März 2016 in Brüssel",?,?,108547
"Nike (Unternehmen)",?,?,108544
"Star Wars: Das Erwachen der Macht",?,?,108499
"Oana Nechiti",?,?,108445
"Albert Einstein",?,?,108290
"American Horror Story",?,?,108260
"Claudia Michelsen",?,?,108236
"Star Wars",?,?,107556
"YouTube",?,?,107242
"Horst Dassler",?,?,107062
"Sandra Bullock",?,?,106868
"Stephen Hawking",?,?,106752
"Tuberkulose",?,?,106740
"Germany’s Next Topmodel",?,?,106491
"Indien",?,?,106329
"Bundeskanzler (Deutschland)",?,?,106019
"Rheinland-Pfalz",?,?,105248
"Suits (Fernsehserie)",?,?,105158
"Nordrhein-Westfalen",?,?,104886
"Krätze",?,?,104668
"Island",?,?,104539
"Konfektionsgröße",?,?,104343
"BMW",?,?,104291
"Patrick Swayze",?,?,104220
"Osterdatum",?,?,104209
"Frank Plasberg",?,?,104082
"Wien",?,?,103624
"Niederlande",?,?,103460
"Fidel Castro",?,?,102849
"Volksrepublik China",?,?,102369
"Internet Movie Database",?,?,101936
"Zlatan Ibrahimović",?,?,101775
"Bipolare Störung",?,?,101736
"The Blacklist",?,?,101386
"Harry Potter (Filmreihe)",?,?,101292
"Irland",?,?,101071
"Sahra Wagenknecht",?,?,100934
"Tanzverbot",?,?,100782
"Twenty One Pilots",?,?,100560
"Wolfgang Amadeus Mozart",?,?,100442
"Vereinigtes Königreich",?,?,100420
"Köln",?,?,100365
"Snapchat",?,?,100279
"Verwandtschaftsbeziehung",?,?,100095
"Deutsche Fußballnationalmannschaft",?,?,99743
"Jella Haase",?,?,99676
"Elisabeth I.",?,?,99408
"Frankfurt am Main",?,?,98878
"Jake Gyllenhaal",?,?,98864
"Liste der IPA-Zeichen",?,?,98765
"2 Broke Girls",?,?,98522
"Dekarbonisierung",?,?,98266
"Matthias Schweighöfer",?,?,97755
"Benjamin von Stuckrad-Barre",?,?,97744
"Arrow (Fernsehserie)",?,?,97653
"Autismus",?,?,97603
"Germanwings-Flug 9525",?,?,97532
"Gianluigi Buffon",?,?,97390
"Spanien",?,?,97209
"Elyas M’Barek",?,?,97159
"Kirk Douglas",?,?,97001
"Batman Begins",?,?,96916
"Vagina",?,?,96662
"Let’s Dance (Fernsehsendung)",?,?,96568
"London",?,?,96276
"Karl der Große",?,?,96090
"Polen",?,?,95933
"Elon Musk",?,?,95733
"Tom Hardy",?,?,95705
"Bürgerkrieg in Syrien",?,?,95523
"Fack ju Göhte 2",?,?,95130
"Blind Side – Die große Chance",?,?,95129
"Bernie Sanders",?,?,94986
"Sons of Anarchy",?,?,94942
"Nordkorea",?,?,94801
"A4-Format",?,?,94731
"Dwayne Johnson",?,?,94703
"Eurovision Song Contest 2016",?,?,94002
"Hillary Clinton",?,?,92882
"Israel",?,?,92871
"Neuseeland",?,?,92842
"Land (Deutschland)",?,?,92607
"Johann Wolfgang von Goethe",?,?,92536
"Islam",?,?,92175
"Supernatural",?,?,92120
"Ben Affleck",?,?,91901
"Berlin – Tag & Nacht",?,?,91784
"Nikolaus Harnoncourt",?,?,91610
"The Mentalist",?,?,91547
"London Has Fallen",?,?,91518
"Influenza",?,?,91343
"Erich Klann",?,?,91326
"Martin Brambach",?,?,91307
"The Flash (Fernsehserie)",?,?,91183
"Japan",?,?,91037
"Justin Bieber",?,?,90929
"Jörg Meuthen",?,?,90794
"Ostermontag",?,?,90792
"Malta",?,?,90377
"Osterfeuer",?,?,90297
"The 100",?,?,90241
"Marija Jurjewna Scharapowa",?,?,90191
"Palmyra",?,?,90076
"Rhein",?,?,89987
"Die Schadenfreundinnen",?,?,89826
"Liberace – Zu viel des Guten ist wundervoll",?,?,89769
"Sarah Connor",?,?,89295
"Marvel’s Daredevil",?,?,89019
"Christina Schwanitz",?,?,88882
"Margaret Rutherford",?,?,88752
"Cameron Diaz",?,?,88738
"NATO",?,?,88644
"Blume",?,?,88557
"Schengener Abkommen",?,?,88556
"Liste der Großstädte in Deutschland",?,?,88506
"The Dark Knight",?,?,88438
"Bundespräsident (Deutschland)",?,?,88283
"Nouruz",?,?,87951
"Gigi Hadid",?,?,87822
"Singapur",?,?,87460
"Figuren aus Star Wars",?,?,87378
"Schweden",?,?,87135
"Weltwunder",?,?,87023
"Napoleon Bonaparte",?,?,86941
"Mazedonien",?,?,86791
"Mad Max: Fury Road",?,?,86782
"Arnold Schwarzenegger",?,?,86616
"Flagge Neuseelands",?,?,86548
"Wolfgang Petry",?,?,86423
"Nuklearkatastrophe von Fukushima",?,?,86344
"Super 8 (Film)",?,?,86087
"Amyotrophe Lateralsklerose",?,?,86033
"Radovan Karadžić",?,?,85986
"Berliner Mauer",?,?,85948
"AC/DC",?,?,85682
"Michael Jackson",?,?,85682
"Elisabeth II.",?,?,85672
"Niko Kovač",?,?,85631
"Nuklearkatastrophe von Tschernobyl",?,?,85555
"Iran",?,?,85526
"Kevin Spacey",?,?,85464
"Navy CIS",?,?,85428
"Tim Raue",?,?,85164
"Helene Fischer",?,?,85137
"Sonja Kirchberger",?,?,85065
"Geschlechtsverkehr",?,?,84752
"Jesiden",?,?,84487
"Kaley Cuoco",?,?,84438
"Fibromyalgie",?,?,84021
"Lone Survivor (Film)",?,?,83961
"Downton Abbey",?,?,83775
"Daniel Craig",?,?,83565
"Empathie",?,?,83398
"Gerard Butler",?,?,83221
"Afghanistan",?,?,83205
"Instagram",?,?,83186
"Body-Mass-Index",?,?,83149
"Waris Dirie",?,?,83136
"Hessen",?,?,82385
"Melissa Benoist",?,?,82340
"Michael Douglas",?,?,82289
"Die Tribute von Panem – Mockingjay Teil 2",?,?,82257
"Dexter (Fernsehserie)",?,?,81982
"Präsident der Vereinigten Staaten",?,?,81896
"Recep Tayyip Erdoğan",?,?,81762
"Zac Efron",?,?,81639
"Ursula von der Leyen",?,?,81611
"Angelina Jolie",?,?,81452
"Die Hebamme (Romanreihe)",?,?,81164
"Colonia Dignidad",?,?,81133
"Körpertemperatur",?,?,81117
"Mila Kunis",?,?,80779
"Ariana Grande",?,?,80580
"O. J. Simpson",?,?,80455
"Robert De Niro",?,?,80445
"Incoterms",?,?,80430
"Josefine Preuß",?,?,80313
"Martin Luther",?,?,80098
"Jason Statham",?,?,79890
"Eminem",?,?,79819
"Max Kruse (Fußballspieler)",?,?,79763
"Cristiano Ronaldo",?,?,79722
"Osmanisches Reich",?,?,79646
"Niedersachsen",?,?,79548
"Full House (US-amerikanische Fernsehserie)",?,?,79468
"Airbus A380",?,?,79459
"Kroatien",?,?,79099
"Sarah Tait",?,?,79059
"Gladiator (Film)",?,?,79053
"Figuren im Lied von Eis und Feuer",?,?,78971
"Keith Emerson",?,?,78927
"Norwegen",?,?,78913
"Adele (Sängerin)",?,?,78817
"Peaky Blinders – Gangs of Birmingham",?,?,78717
"Mauritius",?,?,78706
"Urbino",?,?,78403
"Allianz für Fortschritt und Aufbruch",?,?,78332
"Hand-Fuß-Mund-Krankheit",?,?,78290
"Castle (Fernsehserie)",?,?,77973
"Liste der Staaten der Erde",?,?,77907
"Kim Kardashian",?,?,77658
"Christian Bale",?,?,77614
"Raspberry Pi",?,?,77575
"Vereinte Nationen",?,?,77104
"Meldonium",?,?,76911
"Homeland (Fernsehserie)",?,?,76907
"Vietnamkrieg",?,?,76875
"Ländervorwahlliste sortiert nach Nummern",?,?,76768
"Maria Ehrich",?,?,76722
"Liste der Disney-Filme",?,?,76564
"Fußball-Europameisterschaft 2012",?,?,76557
"Boris Becker",?,?,76489
"Haggis",?,?,76435
"Biathlon-Weltmeisterschaften 2016",?,?,76360
"Schlaganfall",?,?,76313
"Borussia Dortmund",?,?,76230
"Freie Demokratische Partei",?,?,76186
"Narzissmus",?,?,76121
"Paul Hogan",?,?,76114
"Matt Damon",?,?,76076
"Dirty Dancing",?,?,76057
"Terroranschläge am 11. September 2001",?,?,75945
"Charlie Sheen",?,?,75935
"BMW E90",?,?,75906
"Münster (Westfalen)",?,?,75810
"Depression",?,?,75794
"Dresden",?,?,75577
"The Beatles",?,?,75252
"Der Marsianer – Rettet Mark Watney",?,?,75249
"BDSM",?,?,75224
"Diabetes mellitus",?,?,75204
"Blutgruppe",?,?,75025
"Brasilien",?,?,74971
"Leukämie",?,?,74914
"George Clooney",?,?,74903
"X-Men (Filmreihe)",?,?,74711
"Paris",?,?,74653
"Steve Windolf",?,?,74628
"Oscar",?,?,74530
"Jerry Lewis",?,?,74398
"Ryan Reynolds",?,?,74331
"Euro",?,?,74238
"Jesus von Nazaret",?,?,74229
"Shetland",?,?,74061
"Vulva",?,?,73965
"The Dark Knight Rises",?,?,73965
"Nationaldemokratische Partei Deutschlands",?,?,73933
"Steve Jobs",?,?,73848
"Christoph Waltz",?,?,73622
"Universal Serial Bus",?,?,73589
"Marvel Cinematic Universe",?,?,73526
"Fastenzeit",?,?,73482
"Kerstin Ott",?,?,73441
"Griechisches Alphabet",?,?,73154
"Rothschild",?,?,73119
"Klaas Heufer-Umlauf",?,?,73025
"MDMA",?,?,72915
"Pablo Escobar",?,?,72832
"Luke Mockridge",?,?,72803
"Tut – Der größte Pharao aller Zeiten",?,?,72710
"Weimarer Republik",?,?,72707
"Liste der Länder Europas",?,?,72572
"Holocaust",?,?,72392
"Griechenland",?,?,72191
"Fack ju Göhte",?,?,72165
"Tschechien",?,?,72155
"Luxemburg",?,?,71925
"Rumänien",?,?,71891
"Melania Trump",?,?,71729
"Liam Neeson",?,?,71683
"Will Smith",?,?,71682
"Down-Syndrom",?,?,71662
"Vaterfreuden",?,?,71622
"Bitterfeld",?,?,71531
"Transatlantisches Freihandelsabkommen",?,?,71527
"Französische Revolution",?,?,71465
"Lena Meyer-Landrut",?,?,71370
"Liste erfolgreicher Filme",?,?,71336
"Bündnis 90/Die Grünen",?,?,71169
"Mutter Teresa",?,?,71159
"Mathieu Carrière",?,?,71073
"Ausweisnummer",?,?,71061
"How to Get Away with Murder",?,?,70828
"Elvis Presley",?,?,70722
"Annabelle (Puppe)",?,?,70623
"Tatort (Fernsehreihe)",?,?,70507
"Michael Fassbender",?,?,70506
"Zehn Gebote",?,?,70407
"Ray Charles",?,?,70374
"Thomas Häßler",?,?,70349
"Hashimoto-Thyreoiditis",?,?,70344
"Vorstadtweiber",?,?,69941
"Fargo (Fernsehserie)",?,?,69791
"Brad Pitt",?,?,69779
"Peter Lustig",?,?,69702
"Dr. House",?,?,69679
"Leipzig",?,?,69609
"Ted Cruz",?,?,69339
"Mars (Planet)",?,?,69289
"Fußball-Weltmeisterschaft",?,?,69231
"Vikings (Fernsehserie)",?,?,69141
"Sachsen",?,?,69102
"Schutzart",?,?,69083
"Morena Baccarin",?,?,69064
"Dänemark",?,?,69057
"Madeira",?,?,68842
"Marokko",?,?,68838
"Buddhismus",?,?,68798
"Nicolas Cage",?,?,68742
"The First Avenger: Civil War",?,?,68652
"Massaker von Srebrenica",?,?,68588
"Pakistan",?,?,68515
"Deadpool",?,?,68504
"Kosovo",?,?,68499
"Aylin Tezel",?,?,68477
"WhatsApp",?,?,68427
"Lupus erythematodes",?,?,68348
"Ethanol",?,?,68192
"Joshua Kimmich",?,?,68156
